財務省,名詞,固有名詞,組織,*,財務省,*,*
調査,名詞,サ変接続,*,*,調査,*,*
人事,名詞,一般,*,*,人事,*,*
の,助詞,連体化,*,*,の,*,*
報告,名詞,サ変接続,*,*,報告,*,*
に,助詞,格助詞,一般,*,に,*,*
は,助詞,係助詞,*,*,は,*,*
本当,名詞,一般,*,*,本当,*,*
の,助詞,連体化,*,*,の,*,*
動機,名詞,一般,*,*,動機,*,*
が,助詞,格助詞,一般,*,が,*,*
書い,動詞,自立,*,*,書く,五段・カ行イ音便,連用タ接続
て,助詞,接続助詞,*,*,て,*,*
い,動詞,非自立,*,*,いる,一段,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
ここ,名詞,代名詞,一般,*,ここ,*,*
で,助詞,格助詞,一般,*,で,*,*
白黒,名詞,サ変接続,*,*,白黒,*,*
はっきり,副詞,助詞類接続,*,*,はっきり,*,*
さ,動詞,自立,*,*,する,サ変・スル,未然レル接続
せ,動詞,接尾,*,*,せる,一段,未然形
なけれ,助動詞,*,*,*,ない,特殊・ナイ,仮定形
ば,助詞,接続助詞,*,*,ば,*,*
国,名詞,一般,*,*,国,*,*
が,助詞,格助詞,一般,*,が,*,*
前,名詞,副詞可能,*,*,前,*,*
に,助詞,格助詞,一般,*,に,*,*
進ん,動詞,自立,*,*,進む,五段・マ行,連用タ接続
で,助詞,接続助詞,*,*,で,*,*
いか,動詞,非自立,*,*,いく,五段・カ行促音便,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
後ろ向き,名詞,一般,*,*,後ろ向き,*,*
の,助詞,連体化,*,*,の,*,*
議論,名詞,サ変接続,*,*,議論,*,*
は,助詞,係助詞,*,*,は,*,*
早く,形容詞,自立,*,*,早い,形容詞・アウオ段,連用テ接続
片,名詞,一般,*,*,片,*,*
を,助詞,格助詞,一般,*,を,*,*
付ける,動詞,自立,*,*,付ける,一段,基本形
べき,助動詞,*,*,*,べし,文語・ベシ,体言接続
だ,助動詞,*,*,*,だ,特殊・ダ,基本形
5日,名詞,複合,*,*,5日,*,*
に,助詞,格助詞,一般,*,に,*,*
開か,動詞,自立,*,*,開く,五段・カ行イ音便,未然形
れ,動詞,接尾,*,*,れる,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
衆院財金委員会,名詞,複合,*,*,衆院財金委員会,*,*
で,助詞,格助詞,一般,*,で,*,*
近藤和也,名詞,複合,*,*,近藤和也,*,*
議員,名詞,一般,*,*,議員,*,*
が,助詞,格助詞,一般,*,が,*,*
森友学園問題,名詞,複合,*,*,森友学園問題,*,*
の,助詞,連体化,*,*,の,*,*
原因,名詞,一般,*,*,原因,*,*
と,助詞,格助詞,一般,*,と,*,*
...,名詞,サ変接続,*,*,...,*,*
