中村,名詞,固有名詞,人名,姓,中村,*,*
愛媛,名詞,固有名詞,地域,一般,愛媛,*,*
県知事,名詞,一般,*,*,県知事,*,*
会合,名詞,サ変接続,*,*,会合,*,*
に,助詞,格助詞,一般,*,に,*,*
出,動詞,自立,*,*,出る,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
か,助詞,副助詞／並立助詞／終助詞,*,*,か,*,*
出,動詞,自立,*,*,出る,一段,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
か,助詞,副助詞／並立助詞／終助詞,*,*,か,*,*
という,助詞,格助詞,連語,*,という,*,*
こと,名詞,非自立,一般,*,こと,*,*
で,助詞,格助詞,一般,*,で,*,*
話,名詞,サ変接続,*,*,話,*,*
が,助詞,格助詞,一般,*,が,*,*
とどまっ,動詞,自立,*,*,とどまる,五段・ラ行,連用タ接続
て,助詞,接続助詞,*,*,て,*,*
いる,動詞,非自立,*,*,いる,一段,基本形
の,名詞,非自立,一般,*,の,*,*
は,助詞,係助詞,*,*,は,*,*
どう,副詞,助詞類接続,*,*,どう,*,*
か,助詞,副助詞／並立助詞／終助詞,*,*,か,*,*
という,助詞,格助詞,連語,*,という,*,*
思い,名詞,一般,*,*,思い,*,*
は,助詞,係助詞,*,*,は,*,*
ある,動詞,自立,*,*,ある,五段・ラ行,基本形
正直,名詞,形容動詞語幹,*,*,正直,*,*
に,助詞,副詞化,*,*,に,*,*
言え,動詞,自立,*,*,言う,五段・ワ行促音便,仮定形
ば,助詞,接続助詞,*,*,ば,*,*
事実,名詞,副詞可能,*,*,事実,*,*
が,助詞,格助詞,一般,*,が,*,*
わかる,動詞,自立,*,*,わかる,五段・ラ行,基本形
と,助詞,格助詞,引用,*,と,*,*
思う,動詞,自立,*,*,思う,五段・ワ行促音便,基本形
ので,助詞,接続助詞,*,*,ので,*,*
行動,名詞,サ変接続,*,*,行動,*,*
を,助詞,格助詞,一般,*,を,*,*
正直,名詞,形容動詞語幹,*,*,正直,*,*
に,助詞,副詞化,*,*,に,*,*
言え,動詞,自立,*,*,言う,五段・ワ行促音便,仮定形
ば,助詞,接続助詞,*,*,ば,*,*
いい,形容詞,非自立,*,*,いい,形容詞・イイ,基本形
と,助詞,格助詞,引用,*,と,*,*
思う,動詞,自立,*,*,思う,五段・ワ行促音便,基本形
組織,名詞,サ変接続,*,*,組織,*,*
マネジメント,名詞,一般,*,*,マネジメント,*,*
でき,動詞,自立,*,*,できる,一段,連用形
て,動詞,非自立,*,*,てる,一段,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
愛媛,名詞,固有名詞,地域,一般,愛媛,*,*
県知事,名詞,一般,*,*,県知事,*,*
政府,名詞,一般,*,*,政府,*,*
批判,名詞,サ変接続,*,*,批判,*,*
|,名詞,サ変接続,*,*,|,*,*
nhk,名詞,固有名詞,組織,*,nhk,*,*
...,名詞,サ変接続,*,*,...,*,*
