厚,名詞,固有名詞,地域,一般,厚,*,*
労,名詞,一般,*,*,労,*,*
省,名詞,接尾,一般,*,省,*,*
は,助詞,係助詞,*,*,は,*,*
7,名詞,数,*,*,7,*,*
月,名詞,一般,*,*,月,*,*
から,助詞,格助詞,一般,*,から,*,*
全国,名詞,一般,*,*,全国,*,*
の,助詞,連体化,*,*,の,*,*
労基署,名詞,固有名詞,組織,*,労基署,*,*
で,助詞,格助詞,一般,*,で,*,*
残業,名詞,サ変接続,*,*,残業,*,*
を,助詞,格助詞,一般,*,を,*,*
取り決める,動詞,自立,*,*,取り決める,一段,基本形
三,名詞,数,*,*,三,*,*
六,名詞,数,*,*,六,*,*
協定,名詞,サ変接続,*,*,協定,*,*
を,助詞,格助詞,一般,*,を,*,*
届け出,動詞,自立,*,*,届け出る,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
い,動詞,非自立,*,*,いる,一段,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
事業,名詞,一般,*,*,事業,*,*
所,名詞,接尾,一般,*,所,*,*
に対する,助詞,格助詞,連語,*,に対する,*,*
自主,名詞,一般,*,*,自主,*,*
点検,名詞,サ変接続,*,*,点検,*,*
票,名詞,接尾,一般,*,票,*,*
送付,名詞,サ変接続,*,*,送付,*,*
や,助詞,並立助詞,*,*,や,*,*
回答,名詞,サ変接続,*,*,回答,*,*
取りまとめ,名詞,一般,*,*,取りまとめ,*,*
任意,名詞,一般,*,*,任意,*,*
の,助詞,連体化,*,*,の,*,*
相談,名詞,サ変接続,*,*,相談,*,*
事業,名詞,一般,*,*,事業,*,*
など,助詞,副助詞,*,*,など,*,*
を,助詞,格助詞,一般,*,を,*,*
民間,名詞,一般,*,*,民間,*,*
委託,名詞,サ変接続,*,*,委託,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
ます,助動詞,*,*,*,ます,特殊・マス,基本形
労基署,名詞,固有名詞,組織,*,労基署,*,*
の,助詞,連体化,*,*,の,*,*
民間,名詞,一般,*,*,民間,*,*
委託,名詞,サ変接続,*,*,委託,*,*
批判,名詞,サ変接続,*,*,批判,*,*
/,名詞,サ変接続,*,*,/,*,*
高橋,名詞,固有名詞,人名,姓,高橋,*,*
氏,名詞,接尾,人名,*,氏,*,*
監督,名詞,サ変接続,*,*,監督,*,*
業務,名詞,一般,*,*,業務,*,*
に,助詞,格助詞,一般,*,に,*,*
抜け穴,名詞,一般,*,*,抜け穴,*,*
