厚,名詞,固有名詞,地域,一般,厚,*,*
労,名詞,一般,*,*,労,*,*
省,名詞,接尾,一般,*,省,*,*
25,名詞,数,*,*,25,*,*
年度,名詞,接尾,助数詞,*,年度,*,*
の,助詞,連体化,*,*,の,*,*
推計,名詞,サ変接続,*,*,推計,*,*
/“,名詞,サ変接続,*,*,/“,*,*
介護,名詞,サ変接続,*,*,介護,*,*
職,名詞,接尾,一般,*,職,*,*
大幅,名詞,形容動詞語幹,*,*,大幅,*,*
に,助詞,副詞化,*,*,に,*,*
不足,名詞,サ変接続,*,*,不足,*,*
安倍,名詞,固有名詞,人名,姓,安倍,*,*
政権,名詞,一般,*,*,政権,*,*
は,助詞,係助詞,*,*,は,*,*
社会,名詞,一般,*,*,社会,*,*
保障,名詞,サ変接続,*,*,保障,*,*
抑制,名詞,サ変接続,*,*,抑制,*,*
路線,名詞,一般,*,*,路線,*,*
の,助詞,連体化,*,*,の,*,*
もと,名詞,一般,*,*,もと,*,*
規制,名詞,サ変接続,*,*,規制,*,*
緩和,名詞,サ変接続,*,*,緩和,*,*
で,助詞,格助詞,一般,*,で,*,*
無,接頭詞,名詞接続,*,*,無,*,*
資格,名詞,一般,*,*,資格,*,*
者,名詞,接尾,一般,*,者,*,*
や,助詞,並立助詞,*,*,や,*,*
外国,名詞,一般,*,*,外国,*,*
人,名詞,接尾,一般,*,人,*,*
労働,名詞,サ変接続,*,*,労働,*,*
者,名詞,接尾,一般,*,者,*,*
を,助詞,格助詞,一般,*,を,*,*
登用,名詞,サ変接続,*,*,登用,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
など,助詞,副助詞,*,*,など,*,*
安上がり,名詞,形容動詞語幹,*,*,安上がり,*,*
な,助動詞,*,*,*,だ,特殊・ダ,体言接続
介護,名詞,サ変接続,*,*,介護,*,*
人材,名詞,一般,*,*,人材,*,*
を,助詞,格助詞,一般,*,を,*,*
かき集めよ,動詞,自立,*,*,かき集める,一段,未然ウ接続
う,助動詞,*,*,*,う,不変化型,基本形
と,助詞,格助詞,引用,*,と,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
て,助詞,接続助詞,*,*,て,*,*
おり,動詞,非自立,*,*,おる,五段・ラ行,連用形
...,名詞,サ変接続,*,*,...,*,*
