日本,名詞,固有名詞,地域,国,日本,*,*
共産党,名詞,固有名詞,組織,*,共産党,*,*
立憲,名詞,一般,*,*,立憲,*,*
民主党,名詞,固有名詞,組織,*,民主党,*,*
国民,名詞,一般,*,*,国民,*,*
民主党,名詞,固有名詞,組織,*,民主党,*,*
無所属,名詞,一般,*,*,無所属,*,*
の,助詞,連体化,*,*,の,*,*
会,名詞,一般,*,*,会,*,*
自由党,名詞,固有名詞,組織,*,自由党,*,*
社民党,名詞,固有名詞,組織,*,社民党,*,*
の,助詞,連体化,*,*,の,*,*
野党,名詞,一般,*,*,野党,*,*
5,名詞,数,*,*,5,*,*
党,名詞,一般,*,*,党,*,*
1,名詞,数,*,*,1,*,*
会派,名詞,一般,*,*,会派,*,*
は,助詞,係助詞,*,*,は,*,*
14,名詞,数,*,*,14,*,*
日,名詞,接尾,助数詞,*,日,*,*
選択,名詞,サ変接続,*,*,選択,*,*
的,名詞,接尾,形容動詞語幹,*,的,*,*
夫婦,名詞,一般,*,*,夫婦,*,*
別姓,名詞,一般,*,*,別姓,*,*
を,助詞,格助詞,一般,*,を,*,*
導入,名詞,サ変接続,*,*,導入,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
民法,名詞,一般,*,*,民法,*,*
改正,名詞,サ変接続,*,*,改正,*,*
案,名詞,接尾,一般,*,案,*,*
を,助詞,格助詞,一般,*,を,*,*
衆院,名詞,固有名詞,組織,*,衆院,*,*
に,助詞,格助詞,一般,*,に,*,*
共同,名詞,サ変接続,*,*,共同,*,*
提出,名詞,サ変接続,*,*,提出,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
別姓,名詞,一般,*,*,別姓,*,*
の,助詞,連体化,*,*,の,*,*
選択,名詞,サ変接続,*,*,選択,*,*
認めよ,動詞,自立,*,*,認める,一段,命令ｙｏ
/,名詞,サ変接続,*,*,/,*,*
6,名詞,数,*,*,6,*,*
野党,名詞,一般,*,*,野党,*,*
会派,名詞,一般,*,*,会派,*,*
民法,名詞,一般,*,*,民法,*,*
改正,名詞,サ変接続,*,*,改正,*,*
案,名詞,接尾,一般,*,案,*,*
を,助詞,格助詞,一般,*,を,*,*
提出,名詞,サ変接続,*,*,提出,*,*
