岡山,名詞,固有名詞,地域,一般,岡山,*,*
加計,名詞,固有名詞,人名,姓,加計,*,*
学園,名詞,一般,*,*,学園,*,*
:,名詞,サ変接続,*,*,:,*,*
文科,名詞,一般,*,*,文科,*,*
省,名詞,接尾,一般,*,省,*,*
調査,名詞,サ変接続,*,*,調査,*,*
に,助詞,格助詞,一般,*,に,*,*
疑念,名詞,一般,*,*,疑念,*,*
個人,名詞,一般,*,*,個人,*,*
の,助詞,連体化,*,*,の,*,*
pc,名詞,一般,*,*,pc,*,*
なぜ,副詞,助詞類接続,*,*,なぜ,*,*
対象,名詞,一般,*,*,対象,*,*
外,名詞,接尾,一般,*,外,*,*
/,名詞,サ変接続,*,*,/,*,*
共有,名詞,サ変接続,*,*,共有,*,*
なら,助動詞,*,*,*,だ,特殊・ダ,仮定形
行政,名詞,一般,*,*,行政,*,*
文書,名詞,一般,*,*,文書,*,*
で,助詞,格助詞,一般,*,で,*,*
は,助詞,係助詞,*,*,は,*,*
-,名詞,サ変接続,*,*,-,*,*
毎日新聞,名詞,固有名詞,組織,*,毎日新聞,*,*
