安倍,名詞,固有名詞,人名,姓,安倍,*,*
政権,名詞,一般,*,*,政権,*,*
の,助詞,連体化,*,*,の,*,*
農業,名詞,一般,*,*,農業,*,*
改革,名詞,サ変接続,*,*,改革,*,*
方針,名詞,一般,*,*,方針,*,*
について,助詞,格助詞,連語,*,について,*,*
(,名詞,サ変接続,*,*,(,*,*
談話,名詞,サ変接続,*,*,談話,*,*
),名詞,サ変接続,*,*,),*,*
tpp,名詞,固有名詞,組織,*,tpp,*,*
を,助詞,格助詞,一般,*,を,*,*
にらん,動詞,自立,*,*,にらむ,五段・マ行,連用タ接続
だ,助動詞,*,*,*,だ,特殊・タ,基本形
農協,名詞,一般,*,*,農協,*,*
改革,名詞,サ変接続,*,*,改革,*,*
だ,助動詞,*,*,*,だ,特殊・ダ,基本形
が,助詞,接続助詞,*,*,が,*,*
民間,名詞,一般,*,*,民間,*,*
組織,名詞,サ変接続,*,*,組織,*,*
の,助詞,連体化,*,*,の,*,*
全農,名詞,固有名詞,組織,*,全農,*,*
へ,助詞,格助詞,一般,*,へ,*,*
の,助詞,連体化,*,*,の,*,*
改革,名詞,サ変接続,*,*,改革,*,*
押しつけ,名詞,一般,*,*,押しつけ,*,*
は,助詞,係助詞,*,*,は,*,*
論外,名詞,形容動詞語幹,*,*,論外,*,*
協同,名詞,サ変接続,*,*,協同,*,*
組合,名詞,一般,*,*,組合,*,*
は,助詞,係助詞,*,*,は,*,*
組合,名詞,一般,*,*,組合,*,*
員,名詞,接尾,一般,*,員,*,*
が,助詞,格助詞,一般,*,が,*,*
出資,名詞,サ変接続,*,*,出資,*,*
管理,名詞,サ変接続,*,*,管理,*,*
運営,名詞,サ変接続,*,*,運営,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
組織,名詞,サ変接続,*,*,組織,*,*
農協,名詞,一般,*,*,農協,*,*
改革,名詞,サ変接続,*,*,改革,*,*
は,助詞,係助詞,*,*,は,*,*
組合,名詞,一般,*,*,組合,*,*
員,名詞,接尾,一般,*,員,*,*
の,助詞,連体化,*,*,の,*,*
意思,名詞,サ変接続,*,*,意思,*,*
に,助詞,格助詞,一般,*,に,*,*
基づく,動詞,自立,*,*,基づく,五段・カ行イ音便,基本形
自主,名詞,一般,*,*,自主,*,*
的,名詞,接尾,形容動詞語幹,*,的,*,*
主体,名詞,一般,*,*,主体,*,*
的,名詞,接尾,形容動詞語幹,*,的,*,*
な,助動詞,*,*,*,だ,特殊・ダ,体言接続
改革,名詞,サ変接続,*,*,改革,*,*
で,助動詞,*,*,*,だ,特殊・ダ,連用形
なけれ,助動詞,*,*,*,ない,特殊・ナイ,仮定形
ば,助詞,接続助詞,*,*,ば,*,*
なら,動詞,非自立,*,*,なる,五段・ラ行,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
...,名詞,サ変接続,*,*,...,*,*
