塩谷,名詞,固有名詞,人名,姓,塩谷,*,*
政調,名詞,一般,*,*,政調,*,*
会長,名詞,一般,*,*,会長,*,*
代行,名詞,サ変接続,*,*,代行,*,*
火山,名詞,一般,*,*,火山,*,*
対策,名詞,サ変接続,*,*,対策,*,*
特別,名詞,形容動詞語幹,*,*,特別,*,*
委,名詞,接尾,一般,*,委,*,*
設置,名詞,サ変接続,*,*,設置,*,*
の,助詞,連体化,*,*,の,*,*
方針,名詞,一般,*,*,方針,*,*
示す,動詞,自立,*,*,示す,五段・サ行,基本形
:,名詞,サ変接続,*,*,:,*,*
平成,名詞,固有名詞,一般,*,平成,*,*
26,名詞,数,*,*,26,*,*
年,名詞,接尾,助数詞,*,年,*,*
11,名詞,数,*,*,11,*,*
月,名詞,一般,*,*,月,*,*
7,名詞,数,*,*,7,*,*
日,名詞,接尾,助数詞,*,日,*,*
--&,名詞,サ変接続,*,*,--&,*,*
gt,名詞,一般,*,*,gt,*,*
;,名詞,サ変接続,*,*,;,*,*
党,名詞,一般,*,*,党,*,*
災害,名詞,一般,*,*,災害,*,*
対策,名詞,サ変接続,*,*,対策,*,*
特別,名詞,形容動詞語幹,*,*,特別,*,*
委員,名詞,一般,*,*,委員,*,*
会,名詞,接尾,一般,*,会,*,*
は,助詞,係助詞,*,*,は,*,*
11,名詞,数,*,*,11,*,*
月,名詞,一般,*,*,月,*,*
7,名詞,数,*,*,7,*,*
日,名詞,接尾,助数詞,*,日,*,*
御嶽山,名詞,固有名詞,一般,*,御嶽山,*,*
の,助詞,連体化,*,*,の,*,*
噴火,名詞,サ変接続,*,*,噴火,*,*
を,助詞,格助詞,一般,*,を,*,*
受け,動詞,自立,*,*,受ける,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
政府,名詞,一般,*,*,政府,*,*
の,助詞,連体化,*,*,の,*,*
被害,名詞,一般,*,*,被害,*,*
防止,名詞,サ変接続,*,*,防止,*,*
..,名詞,サ変接続,*,*,..,*,*
