熊本,名詞,固有名詞,地域,一般,熊本,*,*
地震,名詞,一般,*,*,地震,*,*
1,名詞,数,*,*,1,*,*
年,名詞,接尾,助数詞,*,年,*,*
3,名詞,数,*,*,3,*,*
カ月,名詞,接尾,助数詞,*,カ月,*,*
この,連体詞,*,*,*,この,*,*
日,名詞,非自立,副詞可能,*,日,*,*
も,助詞,係助詞,*,*,も,*,*
住民,名詞,一般,*,*,住民,*,*
の,助詞,連体化,*,*,の,*,*
切実,名詞,形容動詞語幹,*,*,切実,*,*
な,助動詞,*,*,*,だ,特殊・ダ,体言接続
声,名詞,一般,*,*,声,*,*
に,助詞,格助詞,一般,*,に,*,*
一つ,名詞,一般,*,*,一つ,*,*
一つ,名詞,一般,*,*,一つ,*,*
耳,名詞,一般,*,*,耳,*,*
を,助詞,格助詞,一般,*,を,*,*
傾け,動詞,自立,*,*,傾ける,一段,連用形
県,名詞,一般,*,*,県,*,*
や,助詞,並立助詞,*,*,や,*,*
市,名詞,一般,*,*,市,*,*
とも,助詞,副助詞,*,*,とも,*,*
連携,名詞,サ変接続,*,*,連携,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
ながら,助詞,接続助詞,*,*,ながら,*,*
国,名詞,一般,*,*,国,*,*
に,助詞,格助詞,一般,*,に,*,*
働き掛け,動詞,自立,*,*,働き掛ける,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
いく,動詞,非自立,*,*,いく,五段・カ行促音便,基本形
と,助詞,格助詞,引用,*,と,*,*
応じ,動詞,自立,*,*,応じる,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
江田,名詞,固有名詞,人名,姓,江田,*,*
氏,名詞,接尾,人名,*,氏,*,*
住民,名詞,一般,*,*,住民,*,*
の,助詞,連体化,*,*,の,*,*
何,名詞,数,*,*,何,*,*
度,名詞,接尾,助数詞,*,度,*,*
も,助詞,係助詞,*,*,も,*,*
足,名詞,一般,*,*,足,*,*
を,助詞,格助詞,一般,*,を,*,*
運ん,動詞,自立,*,*,運ぶ,五段・バ行,連用タ接続
で,助詞,接続助詞,*,*,で,*,*
くれる,動詞,非自立,*,*,くれる,一段・クレル,基本形
の,名詞,非自立,一般,*,の,*,*
は,助詞,係助詞,*,*,は,*,*
公明党,名詞,固有名詞,組織,*,公明党,*,*
だけ,助詞,副助詞,*,*,だけ,*,*
と,助詞,格助詞,引用,*,と,*,*
の,助詞,連体化,*,*,の,*,*
言葉,名詞,一般,*,*,言葉,*,*
に,助詞,格助詞,一般,*,に,*,*
何とか,副詞,一般,*,*,何とか,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
て,助詞,接続助詞,*,*,て,*,*
ほしい,形容詞,非自立,*,*,ほしい,形容詞・イ段,基本形
と,助詞,格助詞,引用,*,と,*,*
の,助詞,連体化,*,*,の,*,*
切,名詞,形容動詞語幹,*,*,切,*,*
なる,助動詞,*,*,*,なり,文語・ナリ,体言接続
願い,名詞,一般,*,*,願い,*,*
が,助詞,格助詞,一般,*,が,*,*
込め,動詞,自立,*,*,込める,一段,未然形
られ,動詞,接尾,*,*,られる,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
い,動詞,非自立,*,*,いる,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
