森友,名詞,固有名詞,人名,姓,森友,*,*
書き換え,名詞,サ変接続,*,*,書き換え,*,*
実態解明,名詞,複合,*,*,実態解明,*,*
へ,助詞,格助詞,一般,*,へ,*,*
調査,名詞,サ変接続,*,*,調査,*,*
急げ,動詞,自立,*,*,急ぐ,五段・ガ行,命令ｅ
参院予算委員会,名詞,複合,*,*,参院予算委員会,*,*
で,助詞,格助詞,一般,*,で,*,*
矢倉克夫議員,名詞,複合,*,*,矢倉克夫議員,*,*
は,助詞,係助詞,*,*,は,*,*
誰,名詞,代名詞,一般,*,誰,*,*
が,助詞,格助詞,一般,*,が,*,*
書き換え,動詞,自立,*,*,書き換える,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
か,助詞,副助詞／並立助詞／終助詞,*,*,か,*,*
について,助詞,格助詞,連語,*,について,*,*
理財局,名詞,複合,*,*,理財局,*,*
の,助詞,連体化,*,*,の,*,*
一部職員,名詞,複合,*,*,一部職員,*,*
により,助詞,格助詞,連語,*,により,*,*
行わ,動詞,自立,*,*,行う,五段・ワ行促音便,未然形
れ,動詞,接尾,*,*,れる,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
こと,名詞,非自立,一般,*,こと,*,*
から,助詞,格助詞,一般,*,から,*,*
組織,名詞,サ変接続,*,*,組織,*,*
の,助詞,連体化,*,*,の,*,*
中,名詞,非自立,副詞可能,*,中,*,*
で,助詞,格助詞,一般,*,で,*,*
統一的,名詞,複合,*,*,統一的,*,*
に,助詞,副詞化,*,*,に,*,*
やっ,動詞,自立,*,*,やる,五段・ラ行,連用タ接続
て,助詞,接続助詞,*,*,て,*,*
い,動詞,非自立,*,*,いる,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
の,名詞,非自立,一般,*,の,*,*
か,助詞,副助詞／並立助詞／終助詞,*,*,か,*,*
と,助詞,格助詞,引用,*,と,*,*
ただし,動詞,自立,*,*,ただす,五段・サ行,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
の,名詞,非自立,一般,*,の,*,*
に対し,助詞,格助詞,連語,*,に対し,*,*
太田理財局長,名詞,複合,*,*,太田理財局長,*,*
は,助詞,係助詞,*,*,は,*,*
理財局,名詞,複合,*,*,理財局,*,*
の,助詞,連体化,*,*,の,*,*
複数,名詞,一般,*,*,複数,*,*
の,助詞,連体化,*,*,の,*,*
職員...,名詞,複合,*,*,職員...,*,*
