熊本,名詞,固有名詞,地域,一般,熊本,*,*
地震,名詞,一般,*,*,地震,*,*
など,助詞,副助詞,*,*,など,*,*
の,助詞,連体化,*,*,の,*,*
被災,名詞,サ変接続,*,*,被災,*,*
地,名詞,接尾,一般,*,地,*,*
で,助詞,格助詞,一般,*,で,*,*
活用,名詞,サ変接続,*,*,活用,*,*
さ,動詞,自立,*,*,する,サ変・スル,未然レル接続
れ,動詞,接尾,*,*,れる,一段,連用形
普及,名詞,サ変接続,*,*,普及,*,*
を,助詞,格助詞,一般,*,を,*,*
望む,動詞,自立,*,*,望む,五段・マ行,基本形
声,名詞,一般,*,*,声,*,*
が,助詞,格助詞,一般,*,が,*,*
多い,形容詞,自立,*,*,多い,形容詞・アウオ段,基本形
乳児,名詞,一般,*,*,乳児,*,*
用,名詞,接尾,一般,*,用,*,*
液体,名詞,一般,*,*,液体,*,*
ミルク,名詞,一般,*,*,ミルク,*,*
が,助詞,格助詞,一般,*,が,*,*
国内,名詞,一般,*,*,国内,*,*
で,助詞,格助詞,一般,*,で,*,*
製造,名詞,サ変接続,*,*,製造,*,*
販売,名詞,サ変接続,*,*,販売,*,*
できる,動詞,自立,*,*,できる,一段,基本形
見通し,名詞,一般,*,*,見通し,*,*
と,助詞,格助詞,一般,*,と,*,*
なり,動詞,自立,*,*,なる,五段・ラ行,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
液体,名詞,一般,*,*,液体,*,*
ミルク,名詞,一般,*,*,ミルク,*,*
の,助詞,連体化,*,*,の,*,*
概要,名詞,一般,*,*,概要,*,*
や,助詞,並立助詞,*,*,や,*,*
公明党,名詞,固有名詞,組織,*,公明党,*,*
の,助詞,連体化,*,*,の,*,*
取り組み,名詞,一般,*,*,取り組み,*,*
について,助詞,格助詞,連語,*,について,*,*
党員,名詞,一般,*,*,党員,*,*
の,助詞,連体化,*,*,の,*,*
公恵,名詞,固有名詞,人名,名,公恵,*,*
さん,名詞,接尾,人名,*,さん,*,*
と,助詞,並立助詞,*,*,と,*,*
明子,名詞,固有名詞,人名,名,明子,*,*
さん,名詞,接尾,人名,*,さん,*,*
が,助詞,格助詞,一般,*,が,*,*
友人,名詞,一般,*,*,友人,*,*
の,助詞,連体化,*,*,の,*,*
友美,名詞,固有名詞,人名,名,友美,*,*
さん,名詞,接尾,人名,*,さん,*,*
に,助詞,格助詞,一般,*,に,*,*
語っ,動詞,自立,*,*,語る,五段・ラ行,連用タ接続
て,助詞,接続助詞,*,*,て,*,*
い,動詞,非自立,*,*,いる,一段,連用形
ます,助動詞,*,*,*,ます,特殊・マス,基本形
乳児,名詞,一般,*,*,乳児,*,*
用,名詞,接尾,一般,*,用,*,*
液体,名詞,一般,*,*,液体,*,*
ミ,名詞,一般,*,*,ミ,*,*
...,名詞,サ変接続,*,*,...,*,*
