沖縄,名詞,固有名詞,地域,一般,沖縄,*,*
県,名詞,接尾,地域,*,県,*,*
で,助詞,格助詞,一般,*,で,*,*
流行,名詞,サ変接続,*,*,流行,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
て,助詞,接続助詞,*,*,て,*,*
いる,動詞,非自立,*,*,いる,一段,基本形
はしか,名詞,一般,*,*,はしか,*,*
が,助詞,格助詞,一般,*,が,*,*
国内,名詞,一般,*,*,国内,*,*
の,助詞,連体化,*,*,の,*,*
ほか,名詞,副詞可能,*,*,ほか,*,*
の,助詞,連体化,*,*,の,*,*
地域,名詞,一般,*,*,地域,*,*
に,助詞,格助詞,一般,*,に,*,*
拡大,名詞,サ変接続,*,*,拡大,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
お,接頭詞,名詞接続,*,*,お,*,*
それ,名詞,代名詞,一般,*,それ,*,*
が,助詞,格助詞,一般,*,が,*,*
高まっ,動詞,自立,*,*,高まる,五段・ラ行,連用タ接続
て,助詞,接続助詞,*,*,て,*,*
いる,動詞,非自立,*,*,いる,一段,基本形
として,助詞,格助詞,連語,*,として,*,*
国立,名詞,一般,*,*,国立,*,*
感染,名詞,サ変接続,*,*,感染,*,*
症,名詞,接尾,一般,*,症,*,*
研究所,名詞,一般,*,*,研究所,*,*
は,助詞,係助詞,*,*,は,*,*
必要,名詞,形容動詞語幹,*,*,必要,*,*
な,助動詞,*,*,*,だ,特殊・ダ,体言接続
人,名詞,一般,*,*,人,*,*
は,助詞,係助詞,*,*,は,*,*
ワクチン,名詞,一般,*,*,ワクチン,*,*
を,助詞,格助詞,一般,*,を,*,*
検討,名詞,サ変接続,*,*,検討,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
て,助詞,接続助詞,*,*,て,*,*
ほしい,形容詞,非自立,*,*,ほしい,形容詞・イ段,基本形
と,助詞,格助詞,引用,*,と,*,*
異例,名詞,一般,*,*,異例,*,*
の,助詞,連体化,*,*,の,*,*
呼びかけ,動詞,自立,*,*,呼びかける,一段,連用形
を,助詞,格助詞,一般,*,を,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
て,助詞,接続助詞,*,*,て,*,*
い,動詞,非自立,*,*,いる,一段,連用形
ます,助動詞,*,*,*,ます,特殊・マス,基本形
はしか,名詞,一般,*,*,はしか,*,*
は,助詞,係助詞,*,*,は,*,*
発症,名詞,サ変接続,*,*,発症,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
て,助詞,接続助詞,*,*,て,*,*
も,助詞,係助詞,*,*,も,*,*
有効,名詞,形容動詞語幹,*,*,有効,*,*
な,助動詞,*,*,*,だ,特殊・ダ,体言接続
治療,名詞,サ変接続,*,*,治療,*,*
法,名詞,接尾,一般,*,法,*,*
が,助詞,格助詞,一般,*,が,*,*
なく,形容詞,自立,*,*,ない,形容詞・アウオ段,連用テ接続
ワクチン,名詞,一般,*,*,ワクチン,*,*
で,助詞,格助詞,一般,*,で,*,*
予防,名詞,サ変接続,*,*,予防,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
こと,名詞,非自立,一般,*,こと,*,*
...,名詞,サ変接続,*,*,...,*,*
