大阪,名詞,固有名詞,地域,一般,大阪,*,*
北部,名詞,一般,*,*,北部,*,*
地震,名詞,一般,*,*,地震,*,*
政府,名詞,一般,*,*,政府,*,*
と,助詞,並立助詞,*,*,と,*,*
自民,名詞,固有名詞,組織,*,自民,*,*
公明,名詞,固有名詞,組織,*,公明,*,*
は,助詞,係助詞,*,*,は,*,*
地震,名詞,一般,*,*,地震,*,*
へ,助詞,格助詞,一般,*,へ,*,*
の,助詞,連体化,*,*,の,*,*
対応,名詞,サ変接続,*,*,対応,*,*
に,助詞,格助詞,一般,*,に,*,*
万全,名詞,形容動詞語幹,*,*,万全,*,*
を,助詞,格助詞,一般,*,を,*,*
期す,動詞,自立,*,*,期す,五段・サ行,基本形
こと,名詞,非自立,一般,*,こと,*,*
を,助詞,格助詞,一般,*,を,*,*
確認,名詞,サ変接続,*,*,確認,*,*
井上,名詞,固有名詞,人名,姓,井上,*,*
義久,名詞,固有名詞,人名,名,義久,*,*
幹事,名詞,一般,*,*,幹事,*,*
長,名詞,接尾,一般,*,長,*,*
は,助詞,係助詞,*,*,は,*,*
政府,名詞,一般,*,*,政府,*,*
に対し,助詞,格助詞,連語,*,に対し,*,*
救命,名詞,サ変接続,*,*,救命,*,*
救助,名詞,サ変接続,*,*,救助,*,*
に,助詞,格助詞,一般,*,に,*,*
全力,名詞,一般,*,*,全力,*,*
を,助詞,格助詞,一般,*,を,*,*
尽くし,動詞,自立,*,*,尽くす,五段・サ行,連用形
ライフライン,名詞,一般,*,*,ライフライン,*,*
の,助詞,連体化,*,*,の,*,*
復旧,名詞,サ変接続,*,*,復旧,*,*
に,助詞,格助詞,一般,*,に,*,*
も,助詞,係助詞,*,*,も,*,*
対応,名詞,サ変接続,*,*,対応,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
て,助詞,接続助詞,*,*,て,*,*
もらい,動詞,非自立,*,*,もらう,五段・ワ行促音便,連用形
たい,助動詞,*,*,*,たい,特殊・タイ,基本形
と,助詞,格助詞,引用,*,と,*,*
要請,名詞,サ変接続,*,*,要請,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
緊急,名詞,形容動詞語幹,*,*,緊急,*,*
に,助詞,副詞化,*,*,に,*,*
全国,名詞,一般,*,*,全国,*,*
の,助詞,連体化,*,*,の,*,*
指定,名詞,サ変接続,*,*,指定,*,*
さ,動詞,自立,*,*,する,サ変・スル,未然レル接続
れ,動詞,接尾,*,*,れる,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
通学,名詞,サ変接続,*,*,通学,*,*
路,名詞,接尾,一般,*,路,*,*
の,助詞,連体化,*,*,の,*,*
総,接頭詞,名詞接続,*,*,総,*,*
点検,名詞,サ変接続,*,*,点検,*,*
調,名詞,接尾,一般,*,調,*,*
...,名詞,サ変接続,*,*,...,*,*
