ニコニコ,副詞,助詞類接続,*,*,ニコニコ,*,*
生放送,名詞,一般,*,*,生放送,*,*
の,助詞,連体化,*,*,の,*,*
お知らせ,名詞,サ変接続,*,*,お知らせ,*,*
大,接頭詞,名詞接続,*,*,大,*,*
激戦,名詞,サ変接続,*,*,激戦,*,*
の,助詞,連体化,*,*,の,*,*
北海道,名詞,固有名詞,地域,一般,北海道,*,*
10,名詞,数,*,*,10,*,*
区,名詞,接尾,助数詞,*,区,*,*
に,助詞,格助詞,一般,*,に,*,*
安倍,名詞,固有名詞,人名,姓,安倍,*,*
総裁,名詞,一般,*,*,総裁,*,*
来,動詞,自立,*,*,来る,カ変・来ル,連用形
たる,助動詞,*,*,*,たり,文語・ナリ,体言接続
!,名詞,サ変接続,*,*,!,*,*
北海道,名詞,固有名詞,地域,一般,北海道,*,*
10,名詞,数,*,*,10,*,*
区,名詞,接尾,助数詞,*,区,*,*
公明党,名詞,固有名詞,組織,*,公明党,*,*
候補,名詞,一般,*,*,候補,*,*
いな,動詞,自立,*,*,いぬ,五段・ナ行,未然形
つ,助動詞,*,*,*,つ,下二・タ行,基本形
久,名詞,一般,*,*,久,*,*
の,助詞,連体化,*,*,の,*,*
街頭,名詞,一般,*,*,街頭,*,*
演説,名詞,サ変接続,*,*,演説,*,*
を,助詞,格助詞,一般,*,を,*,*
生放送,名詞,一般,*,*,生放送,*,*
