うすい,形容詞,自立,*,*,うすい,形容詞・アウオ段,基本形
浩一,名詞,固有名詞,人名,名,浩一,*,*
都本部中小企業局次長,名詞,複合,*,*,都本部中小企業局次長,*,*
って,助詞,格助詞,連語,*,って,*,*
どんな,連体詞,*,*,*,どんな,*,*
人足立区,名詞,複合,*,*,人足立区,*,*
育ち学生時代,名詞,複合,*,*,育ち学生時代,*,*
は,助詞,係助詞,*,*,は,*,*
働き,動詞,自立,*,*,働く,五段・カ行イ音便,連用形
ながら,助詞,接続助詞,*,*,ながら,*,*
夜間大学,名詞,複合,*,*,夜間大学,*,*
で,助詞,格助詞,一般,*,で,*,*
学び,動詞,自立,*,*,学ぶ,五段・バ行,連用形
誠実,名詞,形容動詞語幹,*,*,誠実,*,*
な,助動詞,*,*,*,だ,特殊・ダ,体言接続
人柄,名詞,一般,*,*,人柄,*,*
と,助詞,並立助詞,*,*,と,*,*
持ち前,名詞,一般,*,*,持ち前,*,*
の,助詞,連体化,*,*,の,*,*
バイタリティー,名詞,一般,*,*,バイタリティー,*,*
で,助詞,格助詞,一般,*,で,*,*
郵便局保険,名詞,複合,*,*,郵便局保険,*,*
の,助詞,連体化,*,*,の,*,*
トップ営業マン,名詞,複合,*,*,トップ営業マン,*,*
の,助詞,連体化,*,*,の,*,*
経験,名詞,サ変接続,*,*,経験,*,*
も,助詞,係助詞,*,*,も,*,*
実直,名詞,形容動詞語幹,*,*,実直,*,*
な,助動詞,*,*,*,だ,特殊・ダ,体言接続
父,名詞,一般,*,*,父,*,*
から,助詞,格助詞,一般,*,から,*,*
教え,動詞,自立,*,*,教える,一段,連用形
人,名詞,一般,*,*,人,*,*
の,助詞,格助詞,一般,*,の,*,*
役に立つ,動詞,自立,*,*,役に立つ,五段・タ行,基本形
人間,名詞,一般,*,*,人間,*,*
に,助詞,格助詞,一般,*,に,*,*
が,助詞,格助詞,一般,*,が,*,*
政治,名詞,一般,*,*,政治,*,*
を,助詞,格助詞,一般,*,を,*,*
志す,動詞,自立,*,*,志す,五段・サ行,基本形
原点,名詞,一般,*,*,原点,*,*
で,助詞,格助詞,一般,*,で,*,*
...,名詞,サ変接続,*,*,...,*,*
